BU-NEU-EXP;BU-NEU-DAT;BU-NEU-ZEIT;BU-AEN-EXP;BU-AEN-DAT;BU-AEN-ZEIT;BU-UDB;#DUMMY-01;#DUMMY-01;#DUMMY-02;#DUMMY-03;#DUMMY-04;#DUMMY-05;#DUMMY-06;#DUMMY-07;#DUMMY-08;#DUMMY-09;#DUMMY-10;BU-KDNR;BU-NDL;BU-BUERO;BU-NAME;BU-NAME-2;BU-NAME-VERSAND;BU-ORT;BU-STRASSE;BU-POSTFACH;BU-PLZ;BU-PLZ-POSTF;BU-PLZ-GROSS;BU-NAT-KENNZ;BU-GUELTIG-VON;BU-GUELTIG-BI;BU-KOM-TEL-1;BU-KOM-TEL-2;#Z-TELEX-1;#Z-TELEX-2;#Z-TELEX-3;#Z-TELEX-4;BU-KOM-FAX;BU-KOM-BTX;BU-KASSENKONTO;BU-EMPFAENGER;#DUMMY-01;#DUMMY-01;BU-KONTO;#DUMMY-01;BU-E-MAIL;#DUMMY-01;BU-VERKAUFSEINHEIT;BU-DEBITOREN-ZUORDNUNG;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;RBS-ZTAB-CODE;RBS-ZTAB-SAP-KTO;RBS-ZTAB-GUELTIG-VON;RBS-ZTAB-GUELTIG-BIS;BU-FA-ENDK-NAME;BU-FA-ENDK-NAME;BU-FA-ENDK-NAME;BU-FA-ENDK-NAME;BU-FA-ENDK-NAME;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-BELARCH-FUSSTEXT;BU-MARK-DEF-TYP;BU-MARK-DEF-ZIEL;BU-MARK-DEF-BEFOERDERART;BU-MARK-DEF-REISEART;BU-MARK-DEF-DAUER;BU-TEILNEHMER-ABGRENZBUCHUNG
0;;;9083;09.12.2010;10:21:12;210;2501 1;;;;;;;;;;;2501;1;1;Reiseland Bernburg;;Reiseland GmbH;Bernburg;Rheineplatz 1;;6406;;;D;19940801;20691231;;;;;;;;;101201;z.Hd. Frau Margot Rossa;;;;;Bernburg.Rheineplatz@Reiseland.de;;;;7904;187175;19970901;20291231;7905;187175;19970901;20291231;9640;110002;20101201;20291231;9641;110002;20060215;20291231;9642;110002;19970901;20291231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
0;;;9083;09.12.2010;10:25:52;210;2501 10;;;;;;;;;;;2501;1;10;Reiseland Hagenow;;Reiseland GmbH & Co.KG;Hagenow;Grubenstr. 2;;19230;;;D;19940801;20691231;;;;;;;;;101213;z.Hd. Frau Beate Starke;;;;;Hagenow.Grubenstrasse@Reiseland.de;;;;7904;187255;19970901;20291231;7905;187255;19970901;20291231;9640;110011;20101201;20291231;9641;110011;20060101;20291231;9642;110011;19970901;20291231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9070;23.10.2007;12:10:36;9083;09.12.2010;10:42:15;210;2501 100;;;;;;;;;;;2501;1;100;RL WHV Marktstr.;;Reiseland GmbH & Co.KG;Wilhelmshaven;Marktstr. 31;;26382;;;D;20080101;20691231;04421-41022;;;;;;04421-41024;;101282;- Bueroleitung -;;;;;Wilhelmshaven.Marktstrasse@Reiseland.de;;;;7750;165070;20080101;20291231;7904;188105;20080101;20291231;7905;188105;20080101;20291231;9640;110083;20101201;20291231;9641;110083;20080101;20291231;9642;110083;20080101;20291231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9070;23.10.2007;12:10:36;9083;09.12.2010;10:42:28;210;2501 101;;;;;;;;;;;2501;1;101;RL Wilhelmsh.Rbs.Goek;;Reiseland GmbH & Co.KG;Wilhelmshaven;Goekerstr. 62;;26384;;;D;20080101;20691231;04421-32085;;;;;;04421-31888;;101317;- Bueroleitung -;;;;;Wilhelmshaven.Goekerstrasse@Reiseland.de;;;;7750;165070;20080101;20291231;7904;188115;20080101;20291231;7905;188115;20080101;20291231;9640;110084;20101201;20291231;9641;110084;20080101;20291231;9642;110084;20080101;20291231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9070;23.10.2007;12:10:37;9083;09.12.2010;10:42:43;210;2501 102;;;;;;;;;;;2501;1;102;RL Wittmund;;Reiseland GmbH & Co.KG;Wittmund;Kirchstr. 16;;26409;;;D;20080101;20691231;04462-7355;;;;;;04462-3864;;101283;- Bueroleitung -;;;;;Wittmund.Kirchstrasse@Reiseland.de;;;;7904;188125;20080101;20291231;7905;188125;20080101;20291231;9640;110085;20101201;20291231;9641;110085;20080101;20291231;9642;110085;20080101;20291231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9070;22.11.2007;15:03:57;9083;09.12.2010;10:43:04;210;2501 103;;;;;;;;;;;2501;1;103;RL Berlin Greifsw;;Reiseland GmbH & Co.KG;Berlin;Greifswalderstr.90;;10409;;;D;20080101;20691231;;;;;;;;;101311;-Bueroleitung-;;;;;Berlin.Muehlenbergcenter@Reiseland.de;;;;7904;187995;20080101;20691231;7905;187995;20080101;20691231;9640;110071;20101201;20291231;9641;110071;20101201;20291231;9642;110071;20080101;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
0;;;9083;09.12.2010;10:26:06;210;2501 11;;;;;;;;;;;2501;1;11;Reiseland Haldensleben;;Reiseland GmbH & Co.KG;Haldensleben;Marktpassage 5-6;;39340;;;D;19940801;20691231;;;;;;;;;101207;z.Hd. Frau Birgit Kaschubiak;;;;;Haldensleben.Markt@Reiseland.de;;;;7904;187225;19970901;20291231;7905;187225;19970901;20291231;9640;110012;20101201;20291231;9641;110012;19970901;20291231;9642;110012;19970901;20291231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9070;21.11.2007;17:03:12;9083;01.06.2010;13:21:40;210;2501 116;;;;;;;;;;;2501;1;116;Reiseland GmbH & Co.KG;Rathaus Galerie Essen;;Essen;Porscheplatz 2;;45127;;;D;20080101;20691231;0201/2200040;;;;;;0201/2200095;;101405;Bueroleiter;;;;;Essen.Porscheplatz@reiseland.de;;;;7904;188405;20080101;20291231;7905;188405;20080101;20291231;9640;110405;20080101;20291231;9641;110405;20080101;20291231;9642;110405;20080101;20291231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
0;;;9083;02.01.2012;09:52:35;210;2501 12;;;;;;;;;;;2501;1;12;Reiseland Hermsdorf;;Reiseland GmbH & Co.KG;Hermsdorf;Elbe-Park;;39326;;;D;19940801;20691231;;;;;;;;;101240;z.Hd. Frau Antje Geiger;;;;;Hermsdorf.ElbePark@Reiseland.de;;;;7904;187105;19970901;20291231;7905;187105;19970901;20291231;9640;110013;20101201;20291231;9641;110013;19970901;20291231;9642;110013;19970901;20291231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
9070;28.05.2009;09:37:08;9083;05.10.2009;15:04:53;210;2501 125;;;;;;;;;;;2501;1;125;Reiseland Hannover;;;Hannover;Ernst-August-Platz 2;;30159;;;D;20090528;20691231;;;;;;;;;101376;;;;;;hannover.center@reiseland.de;;;;7904;188282;20090601;20691231;7905;188282;20090601;20691231;7931;142144;20090601;20691231;9640;110182;20090601;20691231;9641;110182;20090601;20691231;9642;110182;20090601;20691231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;
